Plot,Treatment,CF14_Seeds,CF14_AWeight,CF14_Date,CF14_Day,CM14_Seeds,CM14_AWeight,CM14_Date,CM14_Day,CM15_DiscDiameter,CM15_RayDiameter,RDN15_Seeds,RDN15_AWeight,SW15_Seeds,SW15_AWeight,CW15_Seeds,CW15_AWeight,CF15_Seeds,CF15_AWeight,CM15_Seeds,CM15_AWeight,CM15_Date,CM15_Day,CF15_Nectar,RDN15_Nectar,SW15_Nectar
13,Heat+Water,16,0.00276875,23/07/2014,204,NA,NA,NA,NA,13.9,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Heat+Water,27,0.003551852,23/07/2014,204,NA,NA,NA,NA,13.5,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Heat+Water,21,0.004138095,23/07/2014,204,NA,NA,NA,NA,13.4,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Heat,11,0.002936364,15/07/2014,196,245,0.001464082,31/07/2014,212,15,37.2,4,0.00075,16,0.000875,11,0.000445455,16,0.0045875,200,0.0015005,10/08/2015,222,0.336448598,0.024143302,0.046728972
14,Heat,26,0.005261538,15/07/2014,196,326,0.000872086,31/07/2014,212,16.7,39.7,4,0.00025,17,0.000758824,11,0.000409091,14,0.005442857,283,0.000968198,10/08/2015,222,0.102803738,NA,0.049688474
14,Heat,22,0.002740909,15/07/2014,196,195,0.001980513,31/07/2014,212,13.5,33.7,4,0.000475,20,0.000695,10,0.00038,14,0.004892857,196,0.000785204,10/08/2015,222,NA,NA,NA
14,Heat,24,0.002316667,15/07/2014,196,193,0.001585492,14/08/2014,226,13.8,32,4,0.0005,18,0.000738889,10,0.00048,NA,NA,266,0.001275564,13/08/2015,225,NA,NA,NA
14,Heat,21,0.003685714,15/07/2014,196,166,0.001216867,14/08/2014,226,13.9,35.8,4,0.000525,20,0.00071,9,0.000411111,NA,NA,235,0.000976596,13/08/2015,225,NA,NA,NA
14,Heat,21,0.004585714,23/07/2014,204,137,0.00250146,14/08/2014,226,14.1,34.8,NA,NA,NA,NA,NA,NA,NA,NA,242,0.000663636,13/08/2015,225,NA,NA,NA
14,Heat,20,0.00312,23/07/2014,204,NA,NA,NA,NA,14.9,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Heat,16,0.00434375,23/07/2014,204,NA,NA,NA,NA,15.1,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Heat,22,0.004063636,23/07/2014,204,NA,NA,NA,NA,13.1,31.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Heat,17,0.004605882,23/07/2014,204,NA,NA,NA,NA,14.6,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Heat,29,0.003593103,15/07/2014,196,228,0.001486842,31/07/2014,212,12.1,35.3,4,0.0007,5,0.0011,10,0.00041,NA,NA,255,0.001163922,10/08/2015,222,NA,0.157320872,NA
15,Heat,21,0.003347619,15/07/2014,196,254,0.001590157,31/07/2014,212,13.9,30.9,3,0.000266667,13,0.000723077,10,0.00044,NA,NA,171,0.001467836,10/08/2015,222,NA,0.053738318,NA
15,Heat,23,0.003052174,15/07/2014,196,268,0.0021,31/07/2014,212,13.6,34.2,4,0.00055,15,0.000546667,13,9.23E-05,NA,NA,262,0.001153053,10/08/2015,222,NA,NA,NA
15,Heat,23,0.003469565,15/07/2014,196,221,0.000837104,14/08/2014,226,12.3,39.6,3,0.000933333,15,0.000286667,2,0.00035,NA,NA,266,0.001119173,13/08/2015,225,NA,NA,NA
15,Heat,29,0.0029,15/07/2014,196,240,0.001617917,14/08/2014,226,13.6,33.1,4,0.00085,17,0.000435294,11,0.000445455,NA,NA,263,0.001325856,13/08/2015,225,NA,NA,NA
15,Heat,21,0.004290476,23/07/2014,204,180,0.001025556,14/08/2014,226,14.3,37.8,NA,NA,NA,NA,NA,NA,NA,NA,194,0.000976289,13/08/2015,225,NA,NA,NA
15,Heat,22,0.0043,23/07/2014,204,NA,NA,NA,NA,13.6,34.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
